id,name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,"grass, poison","overgrow, chlorophyll",45,49,49,65,65,45
2,ivysaur,https://pokeapi.co/api/v2/pokemon/2/,"grass, poison","overgrow, chlorophyll",60,62,63,80,80,60
3,venusaur,https://pokeapi.co/api/v2/pokemon/3/,"grass, poison","overgrow, chlorophyll",80,82,83,100,100,80
4,charmander,https://pokeapi.co/api/v2/pokemon/4/,fire,"blaze, solar-power",39,52,43,60,50,65
5,charmeleon,https://pokeapi.co/api/v2/pokemon/5/,fire,"blaze, solar-power",58,64,58,80,65,80
6,charizard,https://pokeapi.co/api/v2/pokemon/6/,"fire, flying","blaze, solar-power",78,84,78,109,85,100
7,squirtle,https://pokeapi.co/api/v2/pokemon/7/,water,"torrent, rain-dish",44,48,65,50,64,43
8,wartortle,https://pokeapi.co/api/v2/pokemon/8/,water,"torrent, rain-dish",59,63,80,65,80,58
9,blastoise,https://pokeapi.co/api/v2/pokemon/9/,water,"torrent, rain-dish",79,83,100,85,105,78
10,caterpie,https://pokeapi.co/api/v2/pokemon/10/,bug,"shield-dust, run-away",45,30,35,20,20,45
11,metapod,https://pokeapi.co/api/v2/pokemon/11/,bug,shed-skin,50,20,55,25,25,30
12,butterfree,https://pokeapi.co/api/v2/pokemon/12/,"bug, flying","compound-eyes, tinted-lens",60,45,50,90,80,70
13,weedle,https://pokeapi.co/api/v2/pokemon/13/,"bug, poison","shield-dust, run-away",40,35,30,20,20,50
14,kakuna,https://pokeapi.co/api/v2/pokemon/14/,"bug, poison",shed-skin,45,25,50,25,25,35
15,beedrill,https://pokeapi.co/api/v2/pokemon/15/,"bug, poison","swarm, sniper",65,90,40,45,80,75
16,pidgey,https://pokeapi.co/api/v2/pokemon/16/,"normal, flying","keen-eye, tangled-feet, big-pecks",40,45,40,35,35,56
17,pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,"normal, flying","keen-eye, tangled-feet, big-pecks",63,60,55,50,50,71
18,pidgeot,https://pokeapi.co/api/v2/pokemon/18/,"normal, flying","keen-eye, tangled-feet, big-pecks",83,80,75,70,70,101
19,rattata,https://pokeapi.co/api/v2/pokemon/19/,normal,"run-away, guts, hustle",30,56,35,25,35,72
20,raticate,https://pokeapi.co/api/v2/pokemon/20/,normal,"run-away, guts, hustle",55,81,60,50,70,97
21,spearow,https://pokeapi.co/api/v2/pokemon/21/,"normal, flying","keen-eye, sniper",40,60,30,31,31,70
22,fearow,https://pokeapi.co/api/v2/pokemon/22/,"normal, flying","keen-eye, sniper",65,90,65,61,61,100
23,ekans,https://pokeapi.co/api/v2/pokemon/23/,poison,"intimidate, shed-skin, unnerve",35,60,44,40,54,55
24,arbok,https://pokeapi.co/api/v2/pokemon/24/,poison,"intimidate, shed-skin, unnerve",60,95,69,65,79,80
25,pikachu,https://pokeapi.co/api/v2/pokemon/25/,electric,"static, lightning-rod",35,55,40,50,50,90
26,raichu,https://pokeapi.co/api/v2/pokemon/26/,electric,"static, lightning-rod",60,90,55,90,80,110
27,sandshrew,https://pokeapi.co/api/v2/pokemon/27/,ground,"sand-veil, sand-rush",50,75,85,20,30,40
28,sandslash,https://pokeapi.co/api/v2/pokemon/28/,ground,"sand-veil, sand-rush",75,100,110,45,55,65
29,nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,poison,"poison-point, rivalry, hustle",55,47,52,40,40,41
30,nidorina,https://pokeapi.co/api/v2/pokemon/30/,poison,"poison-point, rivalry, hustle",70,62,67,55,55,56
31,nidoqueen,https://pokeapi.co/api/v2/pokemon/31/,"poison, ground","poison-point, rivalry, sheer-force",90,92,87,75,85,76
32,nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,poison,"poison-point, rivalry, hustle",46,57,40,40,40,50
33,nidorino,https://pokeapi.co/api/v2/pokemon/33/,poison,"poison-point, rivalry, hustle",61,72,57,55,55,65
34,nidoking,https://pokeapi.co/api/v2/pokemon/34/,"poison, ground","poison-point, rivalry, sheer-force",81,102,77,85,75,85
35,clefairy,https://pokeapi.co/api/v2/pokemon/35/,fairy,"cute-charm, magic-guard, friend-guard",70,45,48,60,65,35
36,clefable,https://pokeapi.co/api/v2/pokemon/36/,fairy,"cute-charm, magic-guard, unaware",95,70,73,95,90,60
37,vulpix,https://pokeapi.co/api/v2/pokemon/37/,fire,"flash-fire, drought",38,41,40,50,65,65
38,ninetales,https://pokeapi.co/api/v2/pokemon/38/,fire,"flash-fire, drought",73,76,75,81,100,100
39,jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,"normal, fairy","cute-charm, competitive, friend-guard",115,45,20,45,25,20
40,wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,"normal, fairy","cute-charm, competitive, frisk",140,70,45,85,50,45
41,zubat,https://pokeapi.co/api/v2/pokemon/41/,"poison, flying","inner-focus, infiltrator",40,45,35,30,40,55
42,golbat,https://pokeapi.co/api/v2/pokemon/42/,"poison, flying","inner-focus, infiltrator",75,80,70,65,75,90
43,oddish,https://pokeapi.co/api/v2/pokemon/43/,"grass, poison","chlorophyll, run-away",45,50,55,75,65,30
44,gloom,https://pokeapi.co/api/v2/pokemon/44/,"grass, poison","chlorophyll, stench",60,65,70,85,75,40
45,vileplume,https://pokeapi.co/api/v2/pokemon/45/,"grass, poison","chlorophyll, effect-spore",75,80,85,110,90,50
46,paras,https://pokeapi.co/api/v2/pokemon/46/,"bug, grass","effect-spore, dry-skin, damp",35,70,55,45,55,25
47,parasect,https://pokeapi.co/api/v2/pokemon/47/,"bug, grass","effect-spore, dry-skin, damp",60,95,80,60,80,30
48,venonat,https://pokeapi.co/api/v2/pokemon/48/,"bug, poison","compound-eyes, tinted-lens, run-away",60,55,50,40,55,45
49,venomoth,https://pokeapi.co/api/v2/pokemon/49/,"bug, poison","shield-dust, tinted-lens, wonder-skin",70,65,60,90,75,90
50,diglett,https://pokeapi.co/api/v2/pokemon/50/,ground,"sand-veil, arena-trap, sand-force",10,55,25,35,45,95
51,dugtrio,https://pokeapi.co/api/v2/pokemon/51/,ground,"sand-veil, arena-trap, sand-force",35,100,50,50,70,120
52,meowth,https://pokeapi.co/api/v2/pokemon/52/,normal,"pickup, technician, unnerve",40,45,35,40,40,90
53,persian,https://pokeapi.co/api/v2/pokemon/53/,normal,"limber, technician, unnerve",65,70,60,65,65,115
54,psyduck,https://pokeapi.co/api/v2/pokemon/54/,water,"damp, cloud-nine, swift-swim",50,52,48,65,50,55
55,golduck,https://pokeapi.co/api/v2/pokemon/55/,water,"damp, cloud-nine, swift-swim",80,82,78,95,80,85
